iteration,successes,reward_episode,episode_count,random_act,timestep
101,79682,101,835,63934,15748
116,79798,116,836,64032,15766
101,79899,101,837,64107,15792
101,80000,101,838,64181,15819
101,80101,101,839,64268,15833
101,80202,101,840,64344,15858
101,80303,101,841,64421,15882
101,80404,101,842,64502,15902
101,80505,101,843,64589,15916
87,80592,87,844,64662,15930
121,80713,121,845,64764,15949
101,80814,101,846,64843,15971
101,80915,101,847,64924,15991
60,80975,60,848,64971,16004
101,81076,101,849,65054,16022
101,81177,101,850,65132,16045
101,81278,101,851,65211,16067
101,81379,101,852,65297,16082
101,81480,101,853,65368,16112
109,81589,109,854,65459,16130
101,81690,101,855,65544,16146
101,81791,101,856,65621,16170
101,81892,101,857,65704,16188
101,81993,101,858,65789,16204
104,82097,104,859,65874,16223
115,82212,115,860,65966,16246
101,82313,101,861,66047,16266
101,82414,101,862,66127,16287
101,82515,101,863,66200,16315
101,82616,101,864,66275,16341
81,82697,81,865,66344,16353
101,82798,101,866,66423,16375
101,82899,101,867,66504,16395
101,83000,101,868,66588,16412
101,83101,101,869,66672,16429
101,83202,101,870,66747,16455
101,83303,101,871,66826,16477
101,83404,101,872,66903,16501
101,83505,101,873,66982,16523
81,83586,81,874,67048,16538
101,83687,101,875,67128,16559
101,83788,101,876,67205,16583
101,83889,101,877,67288,16601
103,83992,103,878,67374,16618
101,84093,101,879,67458,16635
101,84194,101,880,67530,16664
101,84295,101,881,67603,16692
101,84396,101,882,67682,16714
101,84497,101,883,67763,16734
101,84598,101,884,67849,16749
101,84699,101,885,67929,16770
101,84800,101,886,68006,16794
101,84901,101,887,68086,16815
97,84998,97,888,68169,16829
101,85099,101,889,68255,16844
101,85200,101,890,68338,16862
97,85297,97,891,68420,16877
101,85398,101,892,68497,16901
101,85499,101,893,68582,16917
101,85600,101,894,68663,16937
101,85701,101,895,68743,16958
101,85802,101,896,68823,16979
101,85903,101,897,68893,17010
57,85960,57,898,68939,17021
101,86061,101,899,69018,17043
101,86162,101,900,69098,17064
106,86268,106,901,69180,17088
101,86369,101,902,69260,17109
101,86470,101,903,69342,17128
32,86502,32,904,69372,17130
101,86603,101,905,69452,17151
87,86690,87,906,69521,17169
101,86791,101,907,69610,17181
32,86823,32,908,69636,17187
101,86924,101,909,69713,17211
101,87025,101,910,69790,17235
101,87126,101,911,69870,17256
107,87233,107,912,69963,17270
101,87334,101,913,70040,17294
101,87435,101,914,70123,17312
101,87536,101,915,70204,17332
101,87637,101,916,70286,17351
101,87738,101,917,70375,17363
101,87839,101,918,70447,17392
101,87940,101,919,70531,17409
101,88041,101,920,70618,17423
101,88142,101,921,70703,17439
101,88243,101,922,70783,17460
101,88344,101,923,70864,17480
137,88481,137,924,70977,17504
101,88582,101,925,71057,17525
